set	ID	target_frac	bg_frac	enrich	pval_frac	qval_frac
accel	GO:0000166	0.13636363636363635	0.15673289183222958	-0.20084899737458817	0.3846153846153846	0.7500682500682501
accel	GO:0000976	0.18181818181818182	0.08241353936718175	1.14154320007249	0.33056478405315615	0.7500682500682501
accel	GO:0000977	0.18181818181818182	0.07652685798381163	1.2484584039890019	0.3089092422980849	0.7500682500682501
accel	GO:0000978	0.09090909090909091	0.05224429727740986	0.799151002625412	0.5583710407239819	0.7500682500682501
accel	GO:0000981	0.18181818181818182	0.07358351729212656	1.3050419323553695	0.35841256717651926	0.7500682500682501
accel	GO:0000987	0.09090909090909091	0.05224429727740986	0.799151002625412	0.5583710407239819	0.7500682500682501
accel	GO:0001067	0.18181818181818182	0.08241353936718175	1.14154320007249	0.33056478405315615	0.7500682500682501
accel	GO:0001221	0.045454545454545456	0.003679175864606328	3.6269700272427317	0.4635761589403974	0.7500682500682501
accel	GO:0001664	0.045454545454545456	0.014716703458425313	1.6269700272427317	0.57356608478803	0.7500682500682501
accel	GO:0003676	0.45454545454545453	0.2766740250183959	0.716237365339819	0.07245796637309843	0.7500682500682501
accel	GO:0003677	0.36363636363636365	0.20897718910963944	0.799151002625412	0.15356856455493184	0.7500682500682501
accel	GO:0003678	0.045454545454545456	0.008830022075055188	2.3639356214089378	0.4969879518072289	0.7500682500682501
accel	GO:0003682	0.045454545454545456	0.046357615894039736	-0.028381801369822386	0.7816785518376302	0.8168973583540117
accel	GO:0003690	0.18181818181818182	0.09492273730684327	0.93767086670684	0.3485099337748344	0.7500682500682501
accel	GO:0003700	0.3181818181818182	0.10963944076526858	1.5370845237255366	0.07308160779537154	0.7500682500682501
accel	GO:0003707	0.045454545454545456	0.008830022075055188	2.3639356214089378	0.5696087352138308	0.7500682500682501
accel	GO:0003712	0.045454545454545456	0.03532008830022075	0.36393562140893776	0.7438162544169611	0.809853071055801
accel	GO:0003713	0.045454545454545456	0.019131714495952908	1.2484584039890019	0.6259968102073366	0.7500682500682501
accel	GO:0003723	0.045454545454545456	0.0728476821192053	-0.6804584979495155	0.7289666854884247	0.809853071055801
accel	GO:0003824	0.18181818181818182	0.34952170713760117	-0.9428855810882161	0.7611401043757527	0.809853071055801
accel	GO:0004386	0.045454545454545456	0.013980868285504048	1.7009706086865086	0.5112936344969199	0.7500682500682501
accel	GO:0004672	0.09090909090909091	0.05224429727740986	0.799151002625412	0.4826789838337182	0.7500682500682501
accel	GO:0004674	0.045454545454545456	0.024282560706401765	0.9045040027716407	0.5981220657276995	0.7500682500682501
accel	GO:0004675	0.045454545454545456	0.004415011037527594	3.3639356214089378	0.5178571428571428	0.7500682500682501
accel	GO:0004713	0.045454545454545456	0.025754231052244298	0.8196151051851276	0.7584699453551913	0.809853071055801
accel	GO:0004714	0.045454545454545456	0.016188373804267846	1.4894665034927965	0.7430323299888517	0.809853071055801
accel	GO:0004857	0.045454545454545456	0.0235467255334805	0.9488981221300941	0.5866523143164692	0.7500682500682501
accel	GO:0004879	0.045454545454545456	0.006622516556291391	2.7789731206877817	0.5565052231718899	0.7500682500682501
