gene	obs	total
PCDH9	5	570
ZC3H3	4	135
LOC107053636	3	149
LOC112532727	3	178
LOC107053637	3	195
C6H10orf107	3	206
TMEFF2	4	190
LOC107053801	4	138
SDPR	4	120
LOC112532830	4	117
LOC101751657	3	212
ZIC4	3	235
LOC112533010	3	214
ZIC1	3	217
LOC112533005	3	222
LOC101748259	1	1
LOC112530376	1	1
TCF4Z	4	160
LOC101751186	4	171
LOC112530624	3	166
LOC112530625	3	104
