gene
ACCSL
ASAP2
CD4
DNAJB13
ESCO2
FKBP14
LAG3
LOC100857421-LOC107049109-LOC107053040-LOC107053041-LOC112532176-LOC112532200
LOC101747255
LOC101748650-THRSP-THRSPB
MX1
NUGGC
OVSTL
PPP1R14C
RBM11
RSPH1
SLC22A2
TGM4
