ID	pVal_enrich	subontology
GO:0000079	0.03996004	BP
GO:0001523	0.044955045	BP
GO:0002063	0.017982018	BP
GO:0002244	0.02997003	BP
GO:0003008	0.025974026	BP
GO:0003012	0.041958042	BP
GO:0003281	0.013986014	BP
GO:0003414	0.041958042	BP
GO:0003422	0.041958042	BP
GO:0003429	0.041958042	BP
GO:0006029	0.013986014	BP
GO:0006605	0.01998002	BP
GO:0006720	0.036963037	BP
GO:0006721	0.036963037	BP
GO:0006936	0.046953047	BP
GO:0007005	0.032967033	BP
GO:0007041	0.005994006	BP
GO:0007274	0.016983017	BP
GO:0007281	0.017982018	BP
GO:0007517	0.033966034	BP
GO:0007519	9.99E-04	BP
GO:0009896	0.010989011	BP
GO:0010389	0.022977023	BP
GO:0010508	0.036963037	BP
GO:0010559	0.045954046	BP
GO:0010830	0.001998002	BP
GO:0010831	0.014985015	BP
GO:0014706	0.024975025	BP
GO:0014866	0.047952048	BP
GO:0014902	9.99E-04	BP
GO:0014904	0.001998002	BP
GO:0015837	0.048951049	BP
GO:0015931	0.027972028	BP
GO:0015980	0.001998002	BP
GO:0016079	0.022977023	BP
GO:0016101	0.044955045	BP
GO:0016202	0.022977023	BP
GO:0016925	0.01998002	BP
GO:0019722	0.028971029	BP
GO:0019932	0.035964036	BP
GO:0021602	0.024975025	BP
GO:0030166	0.002997003	BP
GO:0030509	0.027972028	BP
GO:0030510	0.037962038	BP
GO:0030705	0.031968032	BP
GO:0030856	0.030969031	BP
GO:0031331	0.017982018	BP
GO:0032922	0.037962038	BP
GO:0034637	0.016983017	BP
GO:0035094	0.042957043	BP
GO:0035567	9.99E-04	BP
GO:0035914	0.005994006	BP
GO:0042278	0.01998002	BP
GO:0042692	0.004995005	BP
GO:0043467	0.04995005	BP
GO:0045732	0.024975025	BP
GO:0045739	0.026973027	BP
GO:0045844	0.046953047	BP
GO:0046128	0.01998002	BP
GO:0046165	0.03996004	BP
GO:0046173	0.048951049	BP
GO:0046785	0.044955045	BP
GO:0046928	0.011988012	BP
GO:0048477	0.024975025	BP
GO:0048538	0.040959041	BP
GO:0048634	0.022977023	BP
GO:0048636	0.046953047	BP
GO:0048641	0.001998002	BP
GO:0048643	0.003996004	BP
GO:0048741	0.00999001	BP
GO:0048742	0.001998002	BP
GO:0048747	0.001998002	BP
GO:0048846	0.04995005	BP
GO:0050806	0.031968032	BP
GO:0051028	0.048951049	BP
GO:0051054	0.03996004	BP
GO:0051145	0.014985015	BP
GO:0051146	0.007992008	BP
GO:0051147	0.002997003	BP
GO:0051149	0.003996004	BP
GO:0051153	0.001998002	BP
GO:0051155	0.005994006	BP
GO:0051298	0.022977023	BP
GO:0051588	0.001998002	BP
GO:0051952	0.048951049	BP
GO:0055001	0.003996004	BP
GO:0055002	0.003996004	BP
GO:0055013	0.024975025	BP
GO:0055114	0.010989011	BP
GO:0060048	0.045954046	BP
GO:0060317	0.037962038	BP
GO:0060536	0.040959041	BP
GO:0060537	0.021978022	BP
GO:0060538	9.99E-04	BP
GO:0060993	0.031968032	BP
GO:0061326	0.031968032	BP
GO:0061548	0.014985015	BP
GO:0070925	0.048951049	BP
GO:0072080	0.031968032	BP
GO:0090068	0.042957043	BP
GO:0090171	0.041958042	BP
GO:0090257	0.021978022	BP
GO:0099111	0.044955045	BP
GO:0099504	0.033966034	BP
GO:0099565	0.005994006	BP
GO:1900006	0.046953047	BP
GO:1901861	0.022977023	BP
GO:1901863	0.046953047	BP
GO:1902284	0.04995005	BP
GO:1902749	0.048951049	BP
GO:1903018	0.045954046	BP
GO:1904029	0.03996004	BP
GO:2000300	0.035964036	BP
GO:2000677	0.036963037	BP
GO:2001014	0.033966034	BP
GO:2001022	0.026973027	BP
GO:0000428	0.041958042	CC
GO:0005794	0.012987013	CC
GO:0005815	0.004995005	CC
GO:0005887	0.008991009	CC
GO:0005911	0.014985015	CC
GO:0005912	0.021978022	CC
GO:0030018	0.031968032	CC
GO:0030880	0.041958042	CC
GO:0031226	0.007992008	CC
GO:0031674	0.028971029	CC
GO:0036477	0.03996004	CC
GO:0042995	0.020979021	CC
GO:0043005	0.043956044	CC
GO:0043025	0.012987013	CC
GO:0043197	0.00999001	CC
GO:0043235	0.04995005	CC
GO:0044297	0.011988012	CC
GO:0044309	0.00999001	CC
GO:0048471	0.03996004	CC
GO:0055029	0.041958042	CC
GO:0098794	0.015984016	CC
GO:0098802	0.001998002	CC
GO:0098862	0.033966034	CC
GO:1902554	0.018981019	CC
GO:1902911	0.026973027	CC
GO:1905368	0.041958042	CC
GO:0003714	0.012987013	MF
GO:0003729	0.040959041	MF
GO:0004540	0.048951049	MF
GO:0005024	0.00999001	MF
GO:0005085	0.042957043	MF
GO:0005520	0.045954046	MF
GO:0008146	0.043956044	MF
GO:0008289	0.027972028	MF
GO:0015464	0.02997003	MF
GO:0016538	0.016983017	MF
GO:0016614	0.006993007	MF
GO:0016616	0.014985015	MF
GO:0016782	0.017982018	MF
GO:0031267	0.03996004	MF
GO:0042562	0.016983017	MF
GO:0045182	0.035964036	MF
GO:0051020	0.00999001	MF
GO:0051536	0.043956044	MF
GO:0051540	0.043956044	MF
GO:0052689	0.028971029	MF
GO:0099094	0.033966034	MF
