ID	pVal_enrich	subontology
GO:0000041	9.99000999000999e-4	BP
GO:0000045	0.001998001998001998	BP
GO:0000079	9.99000999000999e-4	BP
GO:0000086	9.99000999000999e-4	BP
GO:0000132	9.99000999000999e-4	BP
GO:0000186	9.99000999000999e-4	BP
GO:0000187	9.99000999000999e-4	BP
GO:0000209	9.99000999000999e-4	BP
GO:0000245	9.99000999000999e-4	BP
GO:0000266	9.99000999000999e-4	BP
GO:0000271	9.99000999000999e-4	BP
GO:0000281	9.99000999000999e-4	BP
GO:0000380	9.99000999000999e-4	BP
GO:0000381	9.99000999000999e-4	BP
GO:0000387	9.99000999000999e-4	BP
GO:0000422	9.99000999000999e-4	BP
GO:0000712	9.99000999000999e-4	BP
GO:0000723	9.99000999000999e-4	BP
GO:0000726	0.001998001998001998	BP
GO:0000731	9.99000999000999e-4	BP
GO:0000768	9.99000999000999e-4	BP
GO:0000956	9.99000999000999e-4	BP
GO:0001502	9.99000999000999e-4	BP
GO:0001510	9.99000999000999e-4	BP
GO:0001516	9.99000999000999e-4	BP
GO:0001523	9.99000999000999e-4	BP
GO:0001541	0.002997002997002997	BP
GO:0001569	9.99000999000999e-4	BP
GO:0001570	9.99000999000999e-4	BP
GO:0001656	9.99000999000999e-4	BP
GO:0001658	9.99000999000999e-4	BP
GO:0001659	9.99000999000999e-4	BP
GO:0001678	9.99000999000999e-4	BP
GO:0001706	9.99000999000999e-4	BP
GO:0001709	9.99000999000999e-4	BP
GO:0001732	9.99000999000999e-4	BP
GO:0001738	9.99000999000999e-4	BP
GO:0001755	0.02197802197802198	BP
GO:0001756	0.03196803196803197	BP
GO:0001776	9.99000999000999e-4	BP
GO:0001838	0.02197802197802198	BP
GO:0001841	9.99000999000999e-4	BP
GO:0001881	9.99000999000999e-4	BP
GO:0001906	9.99000999000999e-4	BP
GO:0001937	9.99000999000999e-4	BP
GO:0001947	9.99000999000999e-4	BP
GO:0001954	9.99000999000999e-4	BP
GO:0001959	9.99000999000999e-4	BP
